,u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,startpoint,endpoint,Filename,Date,Time
118,1795662749,1795662774,10000,1160247620,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,51.63,40,"LINESTRING (104.9202737 11.5576843, 104.9203432 11.557225)","(11.5576843, 104.9202737)","(11.557225, 104.9203432)",01-Sep-23 8.35 AM - 20240115193411.png,01-Sep-23,8:35 AM
119,1795662774,1795662812,10000,1160247620,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,57.092,40,"LINESTRING (104.9201969 11.5581922, 104.9202737 11.5576843)","(11.5581922, 104.9201969)","(11.5576843, 104.9202737)",01-Sep-23 8.35 AM - 20240115193416.png,01-Sep-23,8:35 AM
120,1795662812,11009661660,10000,1160247620,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,57.352,40,"LINESTRING (104.9201197 11.5587024, 104.9201969 11.5581922)","(11.5587024, 104.9201197)","(11.5581922, 104.9201969)",01-Sep-23 8.35 AM - 20240115193429.png,01-Sep-23,8:35 AM
121,1795662996,3143614979,10000,668890362,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,61.568,40,"LINESTRING (104.9197393 11.5612164, 104.9198222 11.5606687)","(11.5612164, 104.9197393)","(11.5606687, 104.9198222)",01-Sep-23 8.35 AM - 20240115193434.png,01-Sep-23,8:35 AM
122,1795662996,2466657377,10000,668890362,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,79.63,40,"LINESTRING (104.9196322 11.5619248, 104.9196474 11.5618239, 104.9197393 11.5612164)","(11.5619248, 104.9196322)","(11.5612164, 104.9197393)",01-Sep-23 8.35 AM - 20240115193439.png,01-Sep-23,8:35 AM
123,1795663513,6122045557,10000,668890362,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,50.854,40,"LINESTRING (104.919521 11.56266, 104.9195739 11.5623099, 104.9195894 11.5622076)","(11.56266, 104.919521)","(11.5622076, 104.9195894)",01-Sep-23 8.35 AM - 20240115193444.png,01-Sep-23,8:35 AM
124,1795663513,8727235015,10000,668890362,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,64.007,40,"LINESTRING (104.9194348 11.5632294, 104.919521 11.56266)","(11.5632294, 104.9194348)","(11.56266, 104.919521)",01-Sep-23 8.35 AM - 20240115193448.png,01-Sep-23,8:35 AM
125,1795663541,2327795471,10000,668890362,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,110.893,40,"LINESTRING (104.9191836 11.5648897, 104.9193329 11.5639032)","(11.5648897, 104.9191836)","(11.5639032, 104.9193329)",01-Sep-23 8.35 AM - 20240115193453.png,01-Sep-23,8:35 AM
126,1795663541,1795663560,10000,668890362,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,212.487,40,"LINESTRING (104.9188977 11.56678, 104.9191836 11.5648897)","(11.56678, 104.9188977)","(11.5648897, 104.9191836)",01-Sep-23 8.35 AM - 20240115193458.png,01-Sep-23,8:35 AM
127,1795663560,4115032237,10000,668890362,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,60.387,40,"LINESTRING (104.9188164 11.5673172, 104.9188977 11.56678)","(11.5673172, 104.9188164)","(11.56678, 104.9188977)",01-Sep-23 8.35 AM - 20240115193503.png,01-Sep-23,8:35 AM
128,1795663647,4115032241,10000,668890362,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,154.912,40,"LINESTRING (104.9183133 11.5706423, 104.9185218 11.5692642)","(11.5706423, 104.9183133)","(11.5692642, 104.9185218)",01-Sep-23 8.35 AM - 20240115193508.png,01-Sep-23,8:35 AM
129,1795663647,1795663678,10000,668890362,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,32.508,40,"LINESTRING (104.9182696 11.5709315, 104.9183133 11.5706423)","(11.5709315, 104.9182696)","(11.5706423, 104.9183133)",01-Sep-23 8.35 AM - 20240115193512.png,01-Sep-23,8:35 AM
130,1795663678,6074810172,10000,668890362,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,64.839,40,"LINESTRING (104.9181823 11.5715083, 104.9182696 11.5709315)","(11.5715083, 104.9181823)","(11.5709315, 104.9182696)",01-Sep-23 8.35 AM - 20240115193517.png,01-Sep-23,8:35 AM
131,1797763304,6097040542,10000,1160049978,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,119.693,40,"LINESTRING (104.9208162 11.5547581, 104.9206531 11.5558226)","(11.5547581, 104.9208162)","(11.5558226, 104.9206531)",01-Sep-23 8.35 AM - 20240115193522.png,01-Sep-23,8:35 AM
132,1797763304,4452261815,10000,1160049978,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,71.356,40,"LINESTRING (104.9209135 11.5541235, 104.9208162 11.5547581)","(11.5541235, 104.9209135)","(11.5547581, 104.9208162)",01-Sep-23 8.35 AM - 20240115193526.png,01-Sep-23,8:35 AM
133,1834929668,2021065028,10000,1124328392,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,72.29,40,"LINESTRING (104.8767899 11.5627051, 104.8761265 11.5627205)","(11.5627051, 104.8767899)","(11.5627205, 104.8761265)",01-Sep-23 8.35 AM - 20240115193531.png,01-Sep-23,8:35 AM
