start_lat,start_lon,end_lat,end_lon,time,dt,distance,aver_speed
11.55302,104.92875,11.54549,104.92611,1689151060,226,1155.224533,5.111612977
11.55528,104.91428,11.55551,104.92298,1689161162,380,1536.231583,4.042714692
11.5781,104.91531,11.58255,104.91232,1689119418,284,592.3926757,2.085889703
11.53509,104.88552,11.52823,104.88681,1689153679,391,781.1947138,1.997940444
11.57652,104.79155,11.58193,104.80062,1689123161,1662,3761.226022,2.263072215
11.54927,104.90545,11.54859,104.90047,1689161503,346,561.6722824,1.623330296
11.56245,104.87632,11.56274,104.86537,1689131130,399,1202.07649,3.012723032
11.59761,104.91021,11.59869,104.91882,1689126058,2047,3774.058676,1.843702333
11.57238,104.92855,11.53355,104.91422,1689149904,1869,5097.785062,2.72754685
11.54403,104.91987,11.53482,104.92379,1689147528,352,2065.20894,5.867070852
11.59036,104.865,11.59743,104.86957,1689142472,344,930.4992447,2.704939665
11.57525,104.87075,11.56154,104.88818,1689133489,2030,3329.77849,1.640284971
11.54126,104.90496,11.54065,104.89087,1689119977,243,1554.50893,6.397156092
11.56862,104.90192,11.5748,104.88663,1689130927,1149,1801.804686,1.568150293
11.57727,104.88769,11.58093,104.89633,1689123725,425,1763.603554,4.149655421
11.53865,104.89677,11.55819,104.8941,1689149014,827,2410.909397,2.915247155
11.55516,104.90588,11.55707,104.90775,1689133597,305,901.1527373,2.954599139
11.54661,104.93357,11.54809,104.93142,1689146907,266,881.1421929,3.312564635
11.5266,104.91983,11.53257,104.91327,1689124338,436,1057.299169,2.424998095
11.60393,104.91128,11.59363,104.91147,1689139924,270,1792.548179,6.63906733
11.52732,104.84894,11.5256,104.90033,1689160360,2169,6414.684551,2.957438705
11.54473,104.91131,11.54716,104.9226,1689150875,414,1862.69012,4.499251498
11.5948,104.89518,11.60534,104.90578,1689164957,1145,3797.310487,3.316428373
11.53349,104.96022,11.55173,104.92125,1689114109,1871,11881.80992,6.350513049
11.56867,104.84191,11.56091,104.85267,1689143178,573,2103.817564,3.671583881
11.55991,104.89037,11.54783,104.88256,1689156124,751,1716.747666,2.285948956
11.43834,104.83067,11.44122,104.85826,1689118985,375,8889.443262,23.70518203
11.53922,104.91062,11.53213,104.9136,1689145182,201,1854.383013,9.225786134
11.59548,104.9309,11.61597,104.92714,1689156830,419,2320.121132,5.537281937
11.53436,104.88243,11.54377,104.91283,1689123269,1750,4390.620093,2.508925768
11.54196,104.9153,11.55528,104.90634,1689172787,348,1800.36638,5.173466609
11.55356,104.91316,11.56081,104.91621,1689123730,421,871.9539009,2.071149408
11.58705,104.92759,11.58611,104.92727,1689166791,260,416.3392059,1.601304638
11.53036,104.85366,11.52572,104.85134,1689125017,354,586.6776338,1.657281451
11.58534,104.91521,11.59056,104.92509,1689167215,380,2122.261807,5.584899493
11.57538,104.91948,11.56591,104.91987,1689145448,650,1541.68813,2.371827892
11.54811,104.89712,11.54321,104.89336,1689122169,611,1358.34313,2.223147512
11.57093,104.91125,11.57046,104.90627,1689158292,314,551.2545648,1.755587786
11.55798,104.90813,11.56742,104.90356,1689128998,326,5229.385424,16.04105958
11.59458,104.92575,11.60018,104.92653,1689166068,287,628.4619032,2.189762729
11.53455,104.92956,11.57008,104.92192,1689147325,1089,8172.765354,7.504835035
11.56826,104.91441,11.58256,104.92122,1689163797,1143,1754.624734,1.535104754
11.49335,104.87224,11.51191,104.87392,1689138844,256,2102.202178,8.211727256
11.60997,104.92543,11.58281,104.92758,1689156022,473,3576.325583,7.560942036
11.4682,104.79172,11.4647,104.79942,1689174841,498,924.9727663,1.857375033
11.56089,104.85349,11.53203,104.81392,1689129487,1419,15262.99785,10.7561648
11.57787,104.85155,11.57471,104.85506,1689123894,287,519.979765,1.811776185
11.55924,104.89891,11.56379,104.90298,1689137670,308,957.3594432,3.108309881
11.53776,104.81848,11.53354,104.84318,1689136823,862,4031.820163,4.677285571
11.52983,104.82867,11.52406,104.79157,1689155781,659,11824.44245,17.94300827
11.56939,104.89786,11.58254,104.89796,1689129770,472,2058.450693,4.361124349
11.56663,104.92474,11.56297,104.91615,1689122593,409,1020.442001,2.494968218
11.54589,104.90721,11.5668,104.91224,1689121398,843,2390.795132,2.836055909
11.58962,104.86929,11.57312,104.82192,1689132623,1189,5618.924511,4.725756527
11.55482,104.93423,11.5698,104.92742,1689126732,564,1823.441406,3.233052139
11.56084,104.90753,11.53325,104.914,1689158101,597,11107.49399,18.60551757
11.50852,104.89132,11.54473,104.90619,1689126592,1243,6784.063191,5.457814313
11.56209,104.88089,11.56431,104.88678,1689140187,279,1135.568512,4.070138035
11.55182,104.9078,11.54934,104.88921,1689161572,1290,2293.492361,1.777901055
11.58827,104.89982,11.57707,104.91094,1689124192,679,1737.627427,2.55909783
11.53835,104.91683,11.55184,104.9051,1689134244,1442,4191.017843,2.906392402
11.47064,104.84441,11.46631,104.83836,1689127103,331,821.0590321,2.480540883
11.56188,104.92511,11.57157,104.92173,1689142157,328,2197.620642,6.700062932
11.53716,104.81488,11.5613,104.85352,1689144301,870,5522.770976,6.348012617
11.64196,104.87849,11.57808,104.92443,1689118439,1465,11736.3227,8.011141773
11.54612,104.89632,11.53338,104.88791,1689165821,442,1687.109167,3.816989064
11.61727,104.92664,11.57695,104.90658,1689160051,1299,6456.647768,4.970475572
